brand_id,SKU,product_name,description,price (USD),product Family,profit_margin
BUSH001,191042,Legend Ultra HD 10x42 Binoculars,"ED Prime Glass, Ultra Wide Band Coating, and RainGuard HD.",$249.99,Binoculars,50
BUSH001,198042,Legend Ultra HD 8x42 Binoculars,"Wide field of view, ED Prime Glass, lightweight magnesium chassis.",$229.99,Binoculars,50
BUSH001,BP1042B,Prime 10x42 Binoculars,"Multi-coated lenses, EXO Barrier, waterproof and fog-proof.",$149.99,Binoculars,50
BUSH001,119930C,CelluCORE 20 Trail Camera,"20MP, low-glow LEDs, 80ft night range, HD video, Verizon network.",$130.00,Trail Cameras,50
BUSH001,191144,Trophy TRS-25 Red Dot Sight,"1x20mm red dot, 3 MOA reticle, waterproof, fog-proof.",$97.81,Red Dot Sights,50
BUSH001,202208,Velocity Speed Gun,Radar gun measuring 10-110 mph. Great for sports.,$119.99,Radar Guns,50
BUSH001,202540,Pro X3+ Laser Rangefinder,"Rangefinder with slope, dual display, magnetic mount.",$499.99,Rangefinders,50
BUSH001,362310,Tour V6 Shift Golf Rangefinder,"Slope-Switch tech, 6x magnification, JOLT confirmation.",$329.99,Rangefinders,50
BUSH001,368224,Wingman View Golf GPS Speaker,"Audio + GPS, color display, audible yardage callouts.",$149.99,GPS Devices,50
BUSH001,368226,Wingman Mini GPS Golf Speaker,Compact Bluetooth speaker with GPS distances.,$79.99,GPS Devices,50
BUSH001,BP1250,Prime 12x50 Binoculars,"12x magnification, 50mm objective, waterproof.",$179.95,Binoculars,50
BUSH001,BSHNRGSPOT,Nitro 20-60x65 Spotting Scope,"ED Glass, sunshade, waterproof/fogproof.",$499.00,Spotting Scopes,50
BUSH001,LP1300SBL,Prime 1300 Laser Rangefinder,"1300-yard range, ARC tech, EXO coating.",$199.99,Rangefinders,50
BUSH001,BSHNRFLGOLF,Ion Edge GPS Golf Watch,"38K courses, auto hole advance, distances.",$149.99,GPS Devices,50
BUSH001,BUSHSPTRFLX,RXS-250 Reflex Sight,"Premium red dot, long battery life, rugged.",$249.99,Red Dot Sights,50
BUSH001,BSHNELITE10X,Elite 10x42 Binoculars,"Top clarity, dielectric coating, wide view.",$349.99,Binoculars,50
BUSH001,119932CB,CelluCORE 30 Trail Camera,"30MP, dual SIM (Verizon/AT&T), mobile-friendly.",$149.99,Trail Cameras,50
BUSH001,BUSH-ROF2,ROF-2 Rangefinder,Laser rangefinder for hunting/shooting.,$279.00,Rangefinders,50
BUSH001,119904A,Trophy Cam HD Essential E3,"12MP, 0.3s trigger, 720p, 100-ft IR night.",$119.00,Trail Cameras,50
BUSH001,BUSH-HYBRSCP,Hybrid Laser-GPS Rangefinder,"Laser + GPS, dual readouts, for golfers.",$399.99,Rangefinders,50
BUSHG01,202442,Tour V5 Shift Patriot Pack,"Slope mode toggle, JOLT tech, magnetic cart mount.",$299.99,Rangefinders,50
BUSHG01,362130,Phantom 2 Golf GPS,"Large display, auto course recognition, shot distance.",$129.99,GPS Devices,50
BUSHG01,368241,Wingman GPS Speaker,"Audio yardages, Bluetooth speaker, magnetic mount.",$129.99,GPS Devices,50
BUSHG01,362310,Tour V6 Shift Laser Rangefinder,"Up to 1300 yards, slope switch, JOLT feedback.",$329.99,Rangefinders,50
BUSHG01,361910,Ion Elite GPS Watch,"Color touchscreen, slope distances, 38K courses.",$199.99,GPS Devices,50
BUSHG01,360140,Pro XE Golf Rangefinder,"Slope with elements, BITE mount, waterproof.",$499.99,Rangefinders,50
BUSHG01,361920,Ion Edge Watch,"Auto hole advance, long battery, waterproof.",$129.99,GPS Devices,50
